"IM race_eth","IM All Age Groups","IM Modelling 5-Year Year of Death Groups","Crude Rate","Count","Population"
0,0,0,^,^,56863845
0,0,1,^,^,55064419
0,0,2,^,^,52658288
0,0,3,^,^,51229942
0,1,0,^,^,60030568
0,1,1,^,^,56689611
0,1,2,^,^,55278853
0,1,3,^,^,52876125
0,2,0,^,^,65606080
0,2,1,^,^,61071743
0,2,2,^,^,57820434
0,2,3,^,^,55417701
0,3,0,0.02,12,65329100
0,3,1,^,^,65528463
0,3,2,^,^,60963416
0,3,3,^,^,57999748
0,4,0,0.05,29,61966369
0,4,1,0.04,25,63568352
0,4,2,0.05,32,64494856
0,4,3,0.04,27,61322128
0,5,0,0.11,62,57627591
0,5,1,0.11,67,60609404
0,5,2,0.11,69,62753517
0,5,3,0.10,66,64984125
0,6,0,0.28,187,65691878
0,6,1,0.24,139,57777820
0,6,2,0.21,127,60828621
0,6,3,0.21,135,63017887
0,7,0,0.49,358,73524685
0,7,1,0.50,327,65581047
0,7,2,0.44,255,57930359
0,7,3,0.43,261,60755264
0,8,0,0.13,649,506640116
0,8,1,0.12,563,485890859
0,8,2,0.10,491,472728344
0,8,3,0.11,498,467602920
0,9,0,0.88,714,81148186
0,9,1,0.85,622,72824027
0,9,2,0.80,522,65067956
0,9,3,0.77,442,57647068
0,10,0,1.54,1201,78084740
0,10,1,1.48,1188,80074827
0,10,2,1.36,977,71833564
0,10,3,1.26,812,64359347
0,11,0,2.66,1893,71260716
0,11,1,2.42,1865,77076899
0,11,2,2.34,1843,78910520
0,11,3,2.08,1462,70440038
0,12,0,4.27,2505,58726394
0,12,1,3.54,2472,69852239
0,12,2,3.36,2532,75379073
0,12,3,3.28,2511,76561230
0,13,0,6.97,3215,46114102
0,13,1,5.52,3132,56751869
0,13,2,5.00,3365,67358426
0,13,3,4.62,3338,72221395
0,14,0,10.19,3953,38779995
0,14,1,8.53,3721,43601202
0,14,2,6.99,3761,53820145
0,14,3,6.37,4040,63391859
0,15,0,15.48,5555,35878741
0,15,1,12.40,4343,35030823
0,15,2,10.43,4140,39695560
0,15,3,8.73,4292,49159276
0,16,0,21.17,6674,31526433
0,16,1,17.49,5299,30296395
0,16,2,15.00,4499,29999841
0,16,3,12.44,4281,34411936
0,17,0,28.45,6475,22759852
0,17,1,23.87,5722,23974949
0,17,2,20.04,4716,23534357
0,17,3,17.43,4116,23618799
0,18,0,41.66,7965,19117193
0,18,1,33.00,7146,21655928
0,18,2,28.33,6956,24552857
0,18,3,22.98,5992,26069592
1,0,0,^,^,14649350
1,0,1,^,^,14920032
1,0,2,^,^,15306753
1,0,3,^,^,15262869
1,1,0,^,^,15644051
1,1,1,^,^,14928312
1,1,2,^,^,15258329
1,1,3,^,^,15544629
1,2,0,^,^,16793365
1,2,1,^,^,16371371
1,2,2,^,^,15631176
1,2,3,^,^,15487518
1,3,0,^,^,15397657
1,3,1,^,^,17350351
1,3,2,^,^,16740102
1,3,3,^,^,15920849
1,4,0,0.13,18,14140261
1,4,1,0.08,12,14997499
1,4,2,0.11,19,17164406
1,4,3,0.08,14,17081826
1,5,0,0.34,42,12447534
1,5,1,0.26,35,13561475
1,5,2,0.32,46,14587085
1,5,3,0.25,44,17480446
1,6,0,0.76,100,13112329
1,6,1,0.66,83,12577876
1,6,2,0.51,71,13808058
1,6,3,0.49,73,14887625
1,7,0,1.16,160,13788319
1,7,1,1.18,157,13266305
1,7,2,1.07,137,12837008
1,7,3,0.99,139,13979384
1,8,0,0.28,324,115972866
1,8,1,0.25,291,117973221
1,8,2,0.23,278,121332917
1,8,3,0.22,275,125645146
1,9,0,2.59,362,13974893
1,9,1,2.21,306,13840519
1,9,2,1.78,238,13338276
1,9,3,1.55,199,12878331
1,10,0,4.13,510,12346417
1,10,1,3.63,503,13871450
1,10,2,3.23,443,13710233
1,10,3,2.89,382,13216555
1,11,0,7.25,740,10201361
1,11,1,5.90,724,12276694
1,11,2,5.54,760,13721168
1,11,3,4.77,639,13393606
1,12,0,10.27,757,7367648
1,12,1,9.06,900,9937585
1,12,2,8.31,990,11919745
1,12,3,7.42,978,13174200
1,13,0,16.75,952,5683122
1,13,1,13.84,969,7002629
1,13,2,12.00,1126,9386653
1,13,3,11.03,1235,11197631
1,14,0,25.71,1192,4635501
1,14,1,21.00,1105,5261620
1,14,2,17.22,1122,6514600
1,14,3,15.11,1299,8598136
1,15,0,35.72,1331,3726077
1,15,1,29.24,1177,4025833
1,15,2,27.93,1287,4607980
1,15,3,20.83,1206,5789758
1,16,0,50.76,1454,2864594
1,16,1,43.39,1295,2984250
1,16,2,36.21,1192,3292008
1,16,3,29.91,1162,3884913
1,17,0,67.35,1241,1842637
1,17,1,58.83,1198,2036250
1,17,2,46.91,1041,2219124
1,17,3,40.36,1032,2556882
1,18,0,95.33,1477,1549348
1,18,1,76.68,1320,1721427
1,18,2,63.06,1308,2074244
1,18,3,55.67,1358,2439228
2,0,0,^,^,976971
2,0,1,^,^,1019108
2,0,2,^,^,1021877
2,0,3,^,^,961248
2,1,0,^,^,1030814
2,1,1,^,^,995186
2,1,2,^,^,1035016
2,1,3,^,^,1016145
2,2,0,^,^,1180913
2,2,1,^,^,1095240
2,2,2,^,^,1048872
2,2,3,^,^,1028337
2,3,0,^,^,1136272
2,3,1,^,^,1194401
2,3,2,^,^,1097588
2,3,3,^,^,1042273
2,4,0,^,^,957747
2,4,1,^,^,1031764
2,4,2,^,^,1106692
2,4,3,^,^,1091011
2,5,0,^,^,810188
2,5,1,^,^,873004
2,5,2,^,^,955919
2,5,3,^,^,1100725
2,6,0,^,^,834064
2,6,1,^,^,802021
2,6,2,^,^,877362
2,6,3,^,^,946266
2,7,0,^,^,891916
2,7,1,1.57,13,830313
2,7,2,1.49,12,804143
2,7,3,1.85,16,864121
2,8,0,0.20,16,7818885
2,8,1,0.27,21,7841037
2,8,2,0.23,18,7947469
2,8,3,0.32,26,8050126
2,9,0,1.72,16,930397
2,9,1,2.02,18,892317
2,9,2,1.81,15,828116
2,9,3,2.03,16,789671
2,10,0,3.12,26,834426
2,10,1,4.00,37,925505
2,10,2,2.38,21,880801
2,10,3,2.72,22,808925
2,11,0,4.29,30,699474
2,11,1,2.56,21,820834
2,11,2,4.65,42,903182
2,11,3,5.16,44,852271
2,12,0,5.04,26,516147
2,12,1,7.50,50,666643
2,12,2,5.24,41,782221
2,12,3,6.01,52,865099
2,13,0,11.82,44,372399
2,13,1,10.03,48,478367
2,13,2,9.35,58,620224
2,13,3,5.96,44,738643
2,14,0,16.73,45,268899
2,14,1,14.02,47,335306
2,14,2,14.66,64,436672
2,14,3,14.12,81,573792
2,15,0,29.54,57,192956
2,15,1,23.00,53,230402
2,15,2,20.51,60,292608
2,15,3,15.27,60,392893
2,16,0,44.50,60,134835
2,16,1,27.99,43,153623
2,16,2,26.44,50,189109
2,16,3,21.12,53,250915
2,17,0,44.50,36,80896
2,17,1,45.75,44,96177
2,17,2,36.51,42,115023
2,17,3,27.16,41,150949
2,18,0,57.98,37,63817
2,18,1,36.67,27,73633
2,18,2,51.80,50,96533
2,18,3,26.84,36,134140
3,0,0,^,^,4371149
3,0,1,^,^,5118844
3,0,2,^,^,5628150
3,0,3,^,^,6412096
3,1,0,^,^,4207558
3,1,1,^,^,4824009
3,1,2,^,^,5625852
3,1,3,^,^,6193640
3,2,0,^,^,4282467
3,2,1,^,^,4812396
3,2,2,^,^,5412986
3,2,3,^,^,6051112
3,3,0,^,^,4474202
3,3,1,^,^,5114942
3,3,2,^,^,5579191
3,3,3,^,^,6107841
3,4,0,^,^,5155519
3,4,1,0.24,14,5814096
3,4,2,^,^,6661128
3,4,3,0.17,12,7038124
3,5,0,0.26,15,5761658
3,5,1,0.24,16,6556997
3,5,2,0.28,20,7266685
3,5,3,0.33,28,8493336
3,6,0,0.70,41,5848849
3,6,1,0.67,44,6598062
3,6,2,0.48,35,7328597
3,6,3,0.46,40,8638265
3,7,0,1.43,76,5332113
3,7,1,1.21,78,6445743
3,7,2,1.03,74,7170455
3,7,3,1.01,82,8149441
3,8,0,0.36,140,39433515
3,8,1,0.34,155,45285089
3,8,2,0.27,136,50673044
3,8,3,0.29,163,57083855
3,9,0,2.55,127,4983863
3,9,1,2.19,126,5760652
3,9,2,1.56,107,6856933
3,9,3,1.77,135,7632662
3,10,0,4.02,181,4506408
3,10,1,3.41,183,5360578
3,10,2,2.93,178,6082991
3,10,3,2.88,205,7125961
3,11,0,5.74,222,3867796
3,11,1,4.82,231,4796490
3,11,2,4.95,277,5595720
3,11,3,4.04,252,6239285
3,12,0,9.04,255,2820316
3,12,1,7.49,304,4059307
3,12,2,7.48,371,4959495
3,12,3,6.37,363,5697637
3,13,0,13.86,293,2114054
3,13,1,11.54,339,2938741
3,13,2,9.56,395,4133811
3,13,3,9.05,454,5015838
3,14,0,21.28,353,1659075
3,14,1,18.71,409,2185574
3,14,2,15.02,449,2988581
3,14,3,13.10,544,4151753
3,15,0,34.40,448,1302152
3,15,1,27.75,454,1636080
3,15,2,20.07,430,2142781
3,15,3,16.91,498,2944403
3,16,0,49.39,466,943545
3,16,1,44.58,531,1191198
3,16,2,34.72,525,1511913
3,16,3,26.85,544,2026342
3,17,0,73.57,419,569501
3,17,1,62.58,489,781410
3,17,2,47.74,485,1015827
3,17,3,44.21,591,1336691
3,18,0,108.79,436,400773
3,18,1,89.92,535,594948
3,18,2,73.36,656,894215
3,18,3,61.28,817,1333171
4,0,0,^,^,20422718
4,0,1,^,^,24375487
4,0,2,^,^,25415647
4,0,3,^,^,25240170
4,1,0,^,^,18671728
4,1,1,^,^,21323349
4,1,2,^,^,25043800
4,1,3,^,^,26075854
4,2,0,^,^,17842003
4,2,1,^,^,21103228
4,2,2,^,^,23487172
4,2,3,^,^,25755296
4,3,0,^,^,16924096
4,3,1,^,^,20577272
4,3,2,^,^,22881173
4,3,3,^,^,24408779
4,4,0,0.09,17,18335070
4,4,1,0.17,34,20227112
4,4,2,0.12,27,22755469
4,4,3,0.11,27,24054757
4,5,0,0.31,56,18022619
4,5,1,0.38,78,20567435
4,5,2,0.38,83,21809966
4,5,3,0.32,76,23759861
4,6,0,0.69,118,16979306
4,6,1,0.78,151,19374010
4,6,2,0.89,191,21431544
4,6,3,0.86,194,22542432
4,7,0,1.48,226,15239763
4,7,1,1.24,222,17905628
4,7,2,1.40,278,19902480
4,7,3,1.61,352,21839593
4,8,0,0.30,423,142437303
4,8,1,0.30,492,165453521
4,8,2,0.32,585,182727251
4,8,3,0.34,654,193676742
4,9,0,2.24,291,13001590
4,9,1,2.11,335,15879315
4,9,2,2.45,447,18239887
4,9,3,2.50,502,20043434
4,10,0,3.85,392,10186745
4,10,1,3.49,467,13383076
4,10,2,3.31,529,15996578
4,10,3,3.57,648,18161051
4,11,0,6.06,475,7839237
4,11,1,5.13,537,10463184
4,11,2,5.18,695,13412284
4,11,3,5.01,790,15778386
4,12,0,8.85,502,5669207
4,12,1,7.47,593,7934249
4,12,2,7.29,759,10406927
4,12,3,7.07,927,13108949
4,13,0,14.15,590,4168553
4,13,1,11.03,622,5641078
4,13,2,9.89,766,7746060
4,13,3,9.65,973,10081699
4,14,0,20.00,657,3285378
4,14,1,16.15,663,4105085
4,14,2,15.72,866,5508295
4,14,3,13.22,981,7419807
4,15,0,31.16,809,2596325
4,15,1,22.96,714,3110304
4,15,2,21.86,848,3878972
4,15,3,19.34,1002,5182252
4,16,0,41.52,770,1854327
4,16,1,36.32,845,2326347
4,16,2,30.94,869,2808730
4,16,3,26.76,943,3524143
4,17,0,54.98,600,1091362
4,17,1,46.05,698,1515670
4,17,2,39.60,772,1949468
4,17,3,33.90,812,2395306
4,18,0,70.81,584,824702
4,18,1,64.25,717,1115978
4,18,2,53.18,859,1615250
4,18,3,48.37,1101,2276392
5,0,0,^,^,97284033
5,0,1,^,^,100497890
5,0,2,^,^,100030715
5,0,3,^,^,99106325
5,1,0,^,^,99584719
5,1,1,^,^,98760467
5,1,2,^,^,102241850
5,1,3,^,^,101706393
5,2,0,^,^,105704828
5,2,1,^,^,104453978
5,2,2,^,^,103400640
5,2,3,^,^,103739964
5,3,0,0.02,22,103261327
5,3,1,0.01,16,109765429
5,3,2,0.01,14,107261470
5,3,3,0.02,18,105479490
5,4,0,0.07,72,100554966
5,4,1,0.08,85,105638823
5,4,2,0.08,86,112182551
5,4,3,0.07,81,110587846
5,5,0,0.19,180,94669590
5,5,1,0.19,199,102168315
5,5,2,0.20,219,107373172
5,5,3,0.19,218,115818493
5,6,0,0.44,453,102466426
5,6,1,0.43,422,97129789
5,6,2,0.41,430,104274182
5,6,3,0.40,445,110032475
5,7,0,0.76,828,108776796
5,7,1,0.77,800,104029036
5,7,2,0.77,757,98644445
5,7,3,0.81,851,105587803
5,8,0,0.19,1558,812302685
5,8,1,0.19,1525,822443727
5,8,2,0.18,1511,835409025
5,8,3,0.19,1617,852058789
5,9,0,1.33,1514,114038929
5,9,1,1.29,1407,109196830
5,9,2,1.28,1332,104331168
5,9,3,1.31,1298,98991166
5,10,0,2.18,2313,105958736
5,10,1,2.10,2386,113615436
5,10,2,1.99,2154,108504167
5,10,3,2.00,2075,103671839
5,11,0,3.59,3369,93868584
5,11,1,3.21,3384,105434101
5,11,2,3.22,3624,112542874
5,11,3,3.00,3198,106703586
5,12,0,5.40,4057,75099712
5,12,1,4.68,4329,92450023
5,12,2,4.55,4708,103447461
5,12,3,4.43,4844,109407115
5,13,0,8.74,5110,58452230
5,13,1,7.03,5117,72812684
5,13,2,6.41,5724,89245174
5,13,3,6.10,6059,99255206
5,14,0,12.78,6217,48628848
5,14,1,10.73,5954,55488787
5,14,2,9.07,6280,69268293
5,14,3,8.27,6961,84135347
5,15,0,18.81,8219,43696251
5,15,1,15.33,6751,44033442
5,15,2,13.40,6781,50617901
5,15,3,11.15,7074,63468582
5,16,0,25.33,9454,37323734
5,16,1,21.70,8020,36951813
5,16,2,18.92,7153,37801601
5,16,3,15.87,6999,44098249
5,17,0,33.37,8792,26344248
5,17,1,28.71,8156,28404456
5,17,2,24.54,7075,28833799
5,17,3,21.99,6610,30058627
5,18,0,47.95,10528,21955833
5,18,1,38.76,9754,25161914
5,18,2,33.68,9846,29233099
5,18,3,28.90,9321,32252523
